transaction_date,store_location,unit_price,product_category,product_type,Size,Day Name,transaction_qty
01-01-2023,Astoria,2.0,Coffee,Drip coffee,Small,Sunday,5
01-01-2023,Astoria,2.0,Coffee,Gourmet brewed coffee,Small,Sunday,10
01-01-2023,Astoria,2.2,Coffee,Gourmet brewed coffee,Small,Sunday,4
01-01-2023,Astoria,2.2,Coffee,Organic brewed coffee,Small,Sunday,5
01-01-2023,Astoria,2.45,Coffee,Premium brewed coffee,Small,Sunday,8
01-01-2023,Astoria,2.5,Coffee,Drip coffee,Regular,Sunday,7
01-01-2023,Astoria,2.5,Coffee,Gourmet brewed coffee,Regular,Sunday,6
01-01-2023,Astoria,2.5,Tea,Brewed Black tea,Regular,Sunday,4
01-01-2023,Astoria,2.5,Tea,Brewed Chai tea,Regular,Sunday,18
01-01-2023,Astoria,2.5,Tea,Brewed Green tea,Regular,Sunday,9
01-01-2023,Astoria,2.5,Tea,Brewed herbal tea,Regular,Sunday,18
01-01-2023,Astoria,2.55,Tea,Brewed Chai tea,Regular,Sunday,6
01-01-2023,Astoria,3.0,Coffee,Barista Espresso,Not Defined,Sunday,3
01-01-2023,Astoria,3.0,Coffee,Drip coffee,Large,Sunday,5
01-01-2023,Astoria,3.0,Coffee,Gourmet brewed coffee,Large,Sunday,5
01-01-2023,Astoria,3.0,Coffee,Gourmet brewed coffee,Regular,Sunday,6
01-01-2023,Astoria,3.0,Coffee,Organic brewed coffee,Regular,Sunday,4
01-01-2023,Astoria,3.0,Tea,Brewed Black tea,Large,Sunday,9
01-01-2023,Astoria,3.0,Tea,Brewed Chai tea,Large,Sunday,2
01-01-2023,Astoria,3.0,Tea,Brewed Green tea,Large,Sunday,6
01-01-2023,Astoria,3.0,Tea,Brewed herbal tea,Large,Sunday,11
01-01-2023,Astoria,3.1,Coffee,Premium brewed coffee,Regular,Sunday,9
01-01-2023,Astoria,3.1,Tea,Brewed Chai tea,Large,Sunday,3
01-01-2023,Astoria,3.25,Bakery,Biscotti,Not Defined,Sunday,3
01-01-2023,Astoria,3.25,Bakery,Scone,Not Defined,Sunday,1
01-01-2023,Astoria,3.5,Bakery,Biscotti,Not Defined,Sunday,2
01-01-2023,Astoria,3.5,Bakery,Pastry,Not Defined,Sunday,4
01-01-2023,Astoria,3.5,Coffee,Gourmet brewed coffee,Large,Sunday,4
01-01-2023,Astoria,3.5,Coffee,Organic brewed coffee,Large,Sunday,8
01-01-2023,Astoria,3.5,Drinking Chocolate,Hot chocolate,Regular,Sunday,11
01-01-2023,Astoria,3.75,Bakery,Pastry,Not Defined,Sunday,1
01-01-2023,Astoria,3.75,Bakery,Scone,Not Defined,Sunday,5
01-01-2023,Astoria,3.75,Coffee,Barista Espresso,Not Defined,Sunday,14
01-01-2023,Astoria,3.75,Coffee,Premium brewed coffee,Large,Sunday,10
01-01-2023,Astoria,3.75,Drinking Chocolate,Hot chocolate,Regular,Sunday,13
01-01-2023,Astoria,4.0,Tea,Brewed Chai tea,Large,Sunday,13
01-01-2023,Astoria,4.25,Coffee,Barista Espresso,Large,Sunday,7
01-01-2023,Astoria,4.25,Coffee,Barista Espresso,Regular,Sunday,5
01-01-2023,Astoria,4.5,Bakery,Scone,Not Defined,Sunday,1
01-01-2023,Astoria,4.5,Drinking Chocolate,Hot chocolate,Large,Sunday,7
01-01-2023,Astoria,4.75,Drinking Chocolate,Hot chocolate,Large,Sunday,5
01-01-2023,Hell's Kitchen,2.0,Coffee,Drip coffee,Small,Sunday,7
01-01-2023,Hell's Kitchen,2.0,Coffee,Gourmet brewed coffee,Small,Sunday,2
01-01-2023,Hell's Kitchen,2.2,Coffee,Gourmet brewed coffee,Small,Sunday,4
01-01-2023,Hell's Kitchen,2.2,Coffee,Organic brewed coffee,Small,Sunday,2
01-01-2023,Hell's Kitchen,2.45,Coffee,Premium brewed coffee,Small,Sunday,3
01-01-2023,Hell's Kitchen,2.5,Coffee,Drip coffee,Regular,Sunday,5
01-01-2023,Hell's Kitchen,2.5,Coffee,Gourmet brewed coffee,Regular,Sunday,6
01-01-2023,Hell's Kitchen,2.5,Tea,Brewed Black tea,Regular,Sunday,15
01-01-2023,Hell's Kitchen,2.5,Tea,Brewed Chai tea,Regular,Sunday,15
01-01-2023,Hell's Kitchen,2.5,Tea,Brewed Green tea,Regular,Sunday,5
01-01-2023,Hell's Kitchen,2.5,Tea,Brewed herbal tea,Regular,Sunday,11
01-01-2023,Hell's Kitchen,2.55,Tea,Brewed Chai tea,Regular,Sunday,4
01-01-2023,Hell's Kitchen,3.0,Bakery,Scone,Not Defined,Sunday,2
01-01-2023,Hell's Kitchen,3.0,Coffee,Barista Espresso,Not Defined,Sunday,6
01-01-2023,Hell's Kitchen,3.0,Coffee,Drip coffee,Large,Sunday,8
01-01-2023,Hell's Kitchen,3.0,Coffee,Gourmet brewed coffee,Large,Sunday,8
01-01-2023,Hell's Kitchen,3.0,Coffee,Gourmet brewed coffee,Regular,Sunday,6
01-01-2023,Hell's Kitchen,3.0,Coffee,Organic brewed coffee,Regular,Sunday,7
01-01-2023,Hell's Kitchen,3.0,Tea,Brewed Black tea,Large,Sunday,16
01-01-2023,Hell's Kitchen,3.0,Tea,Brewed Chai tea,Large,Sunday,11
01-01-2023,Hell's Kitchen,3.0,Tea,Brewed Green tea,Large,Sunday,6
01-01-2023,Hell's Kitchen,3.0,Tea,Brewed herbal tea,Large,Sunday,11
01-01-2023,Hell's Kitchen,3.1,Coffee,Premium brewed coffee,Regular,Sunday,10
01-01-2023,Hell's Kitchen,3.1,Tea,Brewed Chai tea,Large,Sunday,2
01-01-2023,Hell's Kitchen,3.25,Bakery,Scone,Not Defined,Sunday,3
01-01-2023,Hell's Kitchen,3.5,Bakery,Biscotti,Not Defined,Sunday,4
01-01-2023,Hell's Kitchen,3.5,Bakery,Pastry,Not Defined,Sunday,2
01-01-2023,Hell's Kitchen,3.5,Coffee,Gourmet brewed coffee,Large,Sunday,5
01-01-2023,Hell's Kitchen,3.5,Coffee,Organic brewed coffee,Large,Sunday,8
01-01-2023,Hell's Kitchen,3.5,Drinking Chocolate,Hot chocolate,Regular,Sunday,1
01-01-2023,Hell's Kitchen,3.75,Bakery,Pastry,Not Defined,Sunday,4
01-01-2023,Hell's Kitchen,3.75,Coffee,Barista Espresso,Not Defined,Sunday,20
01-01-2023,Hell's Kitchen,3.75,Coffee,Premium brewed coffee,Large,Sunday,12
01-01-2023,Hell's Kitchen,3.75,Drinking Chocolate,Hot chocolate,Regular,Sunday,7
01-01-2023,Hell's Kitchen,4.0,Tea,Brewed Chai tea,Large,Sunday,6
01-01-2023,Hell's Kitchen,4.25,Coffee,Barista Espresso,Large,Sunday,6
01-01-2023,Hell's Kitchen,4.25,Coffee,Barista Espresso,Regular,Sunday,8
01-01-2023,Hell's Kitchen,4.5,Bakery,Scone,Not Defined,Sunday,3
01-01-2023,Hell's Kitchen,4.5,Drinking Chocolate,Hot chocolate,Large,Sunday,3
01-01-2023,Hell's Kitchen,4.75,Drinking Chocolate,Hot chocolate,Large,Sunday,6
01-01-2023,Lower Manhattan,2.0,Coffee,Drip coffee,Small,Sunday,3
01-01-2023,Lower Manhattan,2.0,Coffee,Gourmet brewed coffee,Small,Sunday,5
01-01-2023,Lower Manhattan,2.2,Coffee,Gourmet brewed coffee,Small,Sunday,6
01-01-2023,Lower Manhattan,2.2,Coffee,Organic brewed coffee,Small,Sunday,16
01-01-2023,Lower Manhattan,2.45,Coffee,Premium brewed coffee,Small,Sunday,5
01-01-2023,Lower Manhattan,2.5,Coffee,Drip coffee,Regular,Sunday,9
01-01-2023,Lower Manhattan,2.5,Coffee,Gourmet brewed coffee,Regular,Sunday,3
01-01-2023,Lower Manhattan,2.5,Tea,Brewed Black tea,Regular,Sunday,6
01-01-2023,Lower Manhattan,2.5,Tea,Brewed Chai tea,Regular,Sunday,8
01-01-2023,Lower Manhattan,2.5,Tea,Brewed Green tea,Regular,Sunday,2
01-01-2023,Lower Manhattan,2.5,Tea,Brewed herbal tea,Regular,Sunday,8
01-01-2023,Lower Manhattan,2.55,Tea,Brewed Chai tea,Regular,Sunday,10
01-01-2023,Lower Manhattan,3.0,Bakery,Scone,Not Defined,Sunday,3
01-01-2023,Lower Manhattan,3.0,Coffee,Barista Espresso,Not Defined,Sunday,13
01-01-2023,Lower Manhattan,3.0,Coffee,Drip coffee,Large,Sunday,5
01-01-2023,Lower Manhattan,3.0,Coffee,Gourmet brewed coffee,Large,Sunday,4
01-01-2023,Lower Manhattan,3.0,Coffee,Gourmet brewed coffee,Regular,Sunday,4
01-01-2023,Lower Manhattan,3.0,Coffee,Organic brewed coffee,Regular,Sunday,3
01-01-2023,Lower Manhattan,3.0,Tea,Brewed Black tea,Large,Sunday,10
